flight_ID,scheduled_flt_time,scheduled_flt_time_Local,BGATE_ID,
ZH9663,2016/9/9 23:50,2016/9/10 7:50,A13,
KY9663,2016/9/9 23:50,2016/9/10 7:50,A13,
CA3405,2016/9/9 23:50,2016/9/10 7:50,A13,
CA1328,2016/9/10 10:25,2016/9/10 18:25,A128,
ZH1328,2016/9/10 10:25,2016/9/10 18:25,A128,
MF1425,2016/9/10 10:50,2016/9/10 18:50,B907,
MU3576,2016/9/10 10:50,2016/9/10 18:50,B907,
CZ3545,2016/9/10 10:50,2016/9/10 18:50,B907,
MU3113,2016/9/10 11:00,2016/9/10 19:00,B220,
CZ3105,2016/9/10 11:00,2016/9/10 19:00,B220,
MF1007,2016/9/10 11:00,2016/9/10 19:00,B220,
CZ5284,2016/9/10 11:20,2016/9/10 19:20,B09,
MF8382,2016/9/10 11:20,2016/9/10 19:20,B09,
CA1302,2016/9/10 11:30,2016/9/10 19:30,A16,
ZH1302,2016/9/10 11:30,2016/9/10 19:30,A16,
HU7202,2016/9/10 11:30,2016/9/10 19:30,B235,
ZH9187,2016/9/10 11:40,2016/9/10 19:40,A18,
CA3391,2016/9/10 11:40,2016/9/10 19:40,A18,
KY9187,2016/9/10 11:40,2016/9/10 19:40,A18,
MU5320,2016/9/10 11:55,2016/9/10 19:55,B17,
MU9356,2016/9/10 12:10,2016/9/10 20:10,B225,
FM9356,2016/9/10 12:10,2016/9/10 20:10,B225,
CZ9678,2016/9/10 12:15,2016/9/10 20:15,B18,
MU5218,2016/9/10 12:15,2016/9/10 20:15,B18,
CA1866,2016/9/10 13:00,2016/9/10 21:00,A17,
ZH1866,2016/9/10 13:00,2016/9/10 21:00,A17,
9C8932,2016/9/10 13:10,2016/9/10 21:10,A14,
CA3437,2016/9/10 13:15,2016/9/10 21:15,A15,
ZH9552,2016/9/10 13:15,2016/9/10 21:15,A15,
KY9552,2016/9/10 13:15,2016/9/10 21:15,A15,
KN5822,2016/9/10 13:15,2016/9/10 21:15,B15,
KY9625,2016/9/10 13:25,2016/9/10 21:25,A15,
CA3371,2016/9/10 13:25,2016/9/10 21:25,A15,
ZH9625,2016/9/10 13:25,2016/9/10 21:25,A15,
FM9318,2016/9/10 13:30,2016/9/10 21:30,B13,
CZ3390,2016/9/10 13:40,2016/9/10 21:40,B10,
MU3540,2016/9/10 13:45,2016/9/10 21:45,B07,
CZ3419,2016/9/10 13:45,2016/9/10 21:45,B07,
MF1299,2016/9/10 13:45,2016/9/10 21:45,B07,
CZ9645,2016/9/10 13:50,2016/9/10 21:50,B230,
MU5232,2016/9/10 13:50,2016/9/10 21:50,B230,
MF1188,2016/9/10 13:50,2016/9/10 21:50,B08,
MU3605,2016/9/10 13:50,2016/9/10 21:50,B08,
CZ3298,2016/9/10 13:50,2016/9/10 21:50,B08,
HU7810,2016/9/10 13:55,2016/9/10 21:55,B229,
S74692,2016/9/10 13:55,2016/9/10 21:55,B229,
JD5269,2016/9/10 14:20,2016/9/10 22:20,B13,
MU4500,2016/9/10 15:00,2016/9/10 23:00,B208,
MF1263,2016/9/10 15:00,2016/9/10 23:00,B208,
CZ3381,2016/9/10 15:00,2016/9/10 23:00,B208,
PN6206,2016/9/10 15:05,2016/9/10 23:05,B16,
CZ9607,2016/9/10 15:10,2016/9/10 23:10,B14,
MU2908,2016/9/10 15:10,2016/9/10 23:10,B14,
JD5159,2016/9/10 15:25,2016/9/10 23:25,B18,
CZ455,2016/9/10 15:30,2016/9/10 23:30,,
PN6320,2016/9/10 15:40,2016/9/10 23:40,B232,
ZH9031,2016/9/10 15:50,2016/9/10 23:50,A102,
HU7004,2016/9/10 15:50,2016/9/10 23:50,B16,
CZ6053,2016/9/10 15:55,2016/9/10 23:55,A101,
FD531,2016/9/10 15:55,2016/9/10 23:55,A108,
EK363,2016/9/10 15:55,2016/9/10 23:55,A109,
CZ307,2016/9/10 16:05,2016/9/11 0:05,A02,
KL4300,2016/9/10 16:05,2016/9/11 0:05,A02,
AK1530,2016/9/10 16:10,2016/9/11 0:10,A105,
CA1089,2016/9/10 16:15,2016/9/11 0:15,,
FX5194,2016/9/10 16:15,2016/9/11 0:15,,
AF4403,2016/9/10 16:20,2016/9/11 0:20,A118,
CZ347,2016/9/10 16:20,2016/9/11 0:20,A118,
CZ305,2016/9/10 16:30,2016/9/11 0:30,A01,
KL4403,2016/9/10 16:30,2016/9/11 0:30,A01,
ET607,2016/9/10 16:30,2016/9/11 0:30,A104,
CZ617,2016/9/10 16:50,2016/9/11 0:50,A05,
OZ356,2016/9/10 16:55,2016/9/11 0:55,A107,
QR875,2016/9/10 16:55,2016/9/11 0:55,A117,
AK119,2016/9/10 17:15,2016/9/11 1:15,A108,
CI5896,2016/9/10 17:20,2016/9/11 1:20,,
SQ853,2016/9/10 17:20,2016/9/11 1:20,A103,
VA5658,2016/9/10 17:20,2016/9/11 1:20,A103,
CZ399,2016/9/10 17:40,2016/9/11 1:40,A106,
5J289,2016/9/10 17:40,2016/9/11 1:40,A101,
NH8490,2016/9/10 18:30,2016/9/11 2:30,,
ET3607,2016/9/10 18:35,2016/9/11 2:35,,
SL8041,2016/9/10 18:45,2016/9/11 2:45,A104,
TK6517,2016/9/10 18:50,2016/9/11 2:50,,
FD416,2016/9/10 18:50,2016/9/11 2:50,A105,
AK1395,2016/9/10 19:00,2016/9/11 3:00,A108,
SJ1159,2016/9/10 19:15,2016/9/11 3:15,A103,
TZ127,2016/9/10 19:45,2016/9/11 3:45,A106,
KE320,2016/9/10 20:00,2016/9/11 4:00,,
NN806,2016/9/10 20:05,2016/9/11 4:05,A109,
FX5775,2016/9/10 21:30,2016/9/11 5:30,,
AK2010,2016/9/10 21:55,2016/9/11 5:55,A107,
AQ1105,2016/9/10 22:00,2016/9/11 6:00,B901,
AQ1023,2016/9/10 22:15,2016/9/11 6:15,B903,
3U8744,2016/9/10 22:15,2016/9/11 6:15,B14,
